x,y,z,r,theta,SPL [dB]
-400.0,-173.46938775510205,-40.0,579.6883363184395,70.86698579723557,58.49148010343435
-400.0,-173.46938775510205,-14.285714285714285,571.7764975775128,73.30212138224164,56.57315745095909
-400.0,-173.46938775510205,11.42857142857143,564.9253119483731,75.80093350004033,53.318125409498684
-400.0,-173.46938775510205,37.14285714285714,559.1737672293987,78.35610111969712,33.828560950474284
-400.0,-173.46938775510205,62.85714285714286,554.5560790530211,80.95907851809329,36.11970529332596
-400.0,-173.46938775510205,88.57142857142858,551.1007500007555,83.60021349529585,50.54969602289715
-400.0,-173.46938775510205,114.28571428571428,548.8297344967033,86.26892521982104,43.93007874821194
-400.0,-173.46938775510205,140.0,547.7577633075045,88.95393609148985,36.151183873612865
-400.0,-173.46938775510205,165.71428571428572,547.891874405115,91.64354643685893,36.873456550632845
-400.0,-173.46938775510205,191.42857142857144,549.2311842878665,94.3259360886983,43.48048245970148
-400.0,-173.46938775510205,217.14285714285717,551.7669168489049,96.98947376844943,50.97127961439817
-400.0,-173.46938775510205,242.8571428571429,555.4826876179238,99.62301426178182,54.54457071742502
-400.0,-173.46938775510205,268.57142857142856,560.355022228863,102.21616482655375,51.71524260718645
-400.0,-173.46938775510205,294.2857142857143,566.3540717701065,104.75950582861806,26.843853046046387
-400.0,-173.46938775510205,320.0,573.4444761819929,107.24475562023186,53.65656030096367
-400.0,-153.0612244897959,-40.0,572.1309822857834,70.60421231220849,54.50999874995872
-400.0,-153.0612244897959,-14.285714285714285,564.1131595785216,73.06849336731092,58.612662201302
-400.0,-153.0612244897959,11.42857142857143,557.1677500606274,75.59899736734448,41.489023928406866
-400.0,-153.0612244897959,37.14285714285714,551.3352841830214,78.18818842050669,40.51688303393594
-400.0,-153.0612244897959,62.85714285714286,546.6513865731209,80.82722470306467,46.38619992019555
-400.0,-153.0612244897959,88.57142857142858,543.1457725869275,83.50608098263585,52.04318844398636
-400.0,-153.0612244897959,114.28571428571428,540.8413548309494,86.2137364190149,19.709910789032303
-400.0,-153.0612244897959,140.0,539.7535186465163,88.93842178282013,35.81682050952243
-400.0,-153.0612244897959,165.71428571428572,539.8896180394706,91.66791395334975,40.41978882247563
